,artist,title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
2223,Rod Stewart,Da Ya Think I'm Sexy,4z7maGZkAonDlXlwo8q69f,0.715,0.689,2,-8.065,0,0.029,0.0143,0.000192,0.111,0.852,111.504,audio_features,spotify:track:4z7maGZkAonDlXlwo8q69f,https://api.spotify.com/v1/tracks/4z7maGZkAonDlXlwo8q69f,https://api.spotify.com/v1/audio-analysis/4z7maGZkAonDlXlwo8q69f,331333,4
2224,Embrace,All You Good Good People,72TPbqNS18yOlXa5USPSSo,0.232,0.719,11,-6.255,1,0.0428,0.000118,0.000226,0.119,0.323,165.906,audio_features,spotify:track:72TPbqNS18yOlXa5USPSSo,https://api.spotify.com/v1/tracks/72TPbqNS18yOlXa5USPSSo,https://api.spotify.com/v1/audio-analysis/72TPbqNS18yOlXa5USPSSo,366267,4
2225,Elvis Presley,Return to Sender,3uwIoa2emQILz6BmH6MtiW,0.845,0.563,8,-9.488,1,0.0439,0.628,0.0,0.0614,0.969,130.335,audio_features,spotify:track:3uwIoa2emQILz6BmH6MtiW,https://api.spotify.com/v1/tracks/3uwIoa2emQILz6BmH6MtiW,https://api.spotify.com/v1/audio-analysis/3uwIoa2emQILz6BmH6MtiW,126693,4
2226,Deichkind,Remmidemmi (Yippie Yippie Yeah),31sD77U64ym70wYEMpnSrQ,0.77,0.606,3,-6.67,0,0.0618,0.00199,4.36e-05,0.0827,0.301,129.991,audio_features,spotify:track:31sD77U64ym70wYEMpnSrQ,https://api.spotify.com/v1/tracks/31sD77U64ym70wYEMpnSrQ,https://api.spotify.com/v1/audio-analysis/31sD77U64ym70wYEMpnSrQ,281360,4
2227,Erroll Garner,Misty,6oanIhkNbxXnX19RTtkpEL,0.431,0.161,10,-17.707,0,0.0389,0.952,0.799,0.106,0.173,98.018,audio_features,spotify:track:6oanIhkNbxXnX19RTtkpEL,https://api.spotify.com/v1/tracks/6oanIhkNbxXnX19RTtkpEL,https://api.spotify.com/v1/audio-analysis/6oanIhkNbxXnX19RTtkpEL,171000,4
2228,U2,Mysterious Ways,50JK22El2PTIzZBU2liLDI,0.674,0.659,8,-8.049,1,0.0277,0.00156,0.00765,0.108,0.697,99.768,audio_features,spotify:track:50JK22El2PTIzZBU2liLDI,https://api.spotify.com/v1/tracks/50JK22El2PTIzZBU2liLDI,https://api.spotify.com/v1/audio-analysis/50JK22El2PTIzZBU2liLDI,243587,4
2229,Brian Eno,Cindy Tells Me,5bF63YObFP3gfcIfbX84NH,0.599,0.67,5,-7.269,1,0.0373,0.35,8.52e-05,0.25,0.519,114.322,audio_features,spotify:track:5bF63YObFP3gfcIfbX84NH,https://api.spotify.com/v1/tracks/5bF63YObFP3gfcIfbX84NH,https://api.spotify.com/v1/audio-analysis/5bF63YObFP3gfcIfbX84NH,205413,4
2230,The Dovells,Bristol Stomp,0B1cm1Z7J9v8Wug9idr8T6,0.655,0.77,2,-6.338,1,0.0649,0.626,0.0,0.541,0.9,105.394,audio_features,spotify:track:0B1cm1Z7J9v8Wug9idr8T6,https://api.spotify.com/v1/tracks/0B1cm1Z7J9v8Wug9idr8T6,https://api.spotify.com/v1/audio-analysis/0B1cm1Z7J9v8Wug9idr8T6,138893,4
2231,Regina Spektor,Fidelity,6GskIhdM6TN6EkPgeSjVfW,0.923,0.518,5,-6.008,1,0.0492,0.52,0.000142,0.104,0.682,93.023,audio_features,spotify:track:6GskIhdM6TN6EkPgeSjVfW,https://api.spotify.com/v1/tracks/6GskIhdM6TN6EkPgeSjVfW,https://api.spotify.com/v1/audio-analysis/6GskIhdM6TN6EkPgeSjVfW,226680,4
2232,Green Day,Boulevard of Broken Dreams,5GorCbAP4aL0EJ16frG2hd,0.496,0.682,8,-4.095,1,0.0294,0.00552,2.94e-05,0.0589,0.474,167.06,audio_features,spotify:track:5GorCbAP4aL0EJ16frG2hd,https://api.spotify.com/v1/tracks/5GorCbAP4aL0EJ16frG2hd,https://api.spotify.com/v1/audio-analysis/5GorCbAP4aL0EJ16frG2hd,262333,4
2233,The Band,I Shall Be Released,1IoRkyadylakMOukD7uN67,0.445,0.376,4,-11.844,1,0.0312,0.321,0.0,0.0702,0.526,128.156,audio_features,spotify:track:1IoRkyadylakMOukD7uN67,https://api.spotify.com/v1/tracks/1IoRkyadylakMOukD7uN67,https://api.spotify.com/v1/audio-analysis/1IoRkyadylakMOukD7uN67,192104,4
2234,Tony Joe White,Polk Salad Annie,0jtz7Ia3HahOqXWnKad0rn,0.783,0.543,9,-11.565,1,0.0412,0.303,0.0159,0.0892,0.833,132.035,audio_features,spotify:track:0jtz7Ia3HahOqXWnKad0rn,https://api.spotify.com/v1/tracks/0jtz7Ia3HahOqXWnKad0rn,https://api.spotify.com/v1/audio-analysis/0jtz7Ia3HahOqXWnKad0rn,223533,4
2235,Aretha Franklin,Angel,5TICk0rfgLn67MEIHWjur2,0.458,0.524,4,-7.721,1,0.0318,0.392,5.01e-06,0.106,0.307,81.966,audio_features,spotify:track:5TICk0rfgLn67MEIHWjur2,https://api.spotify.com/v1/tracks/5TICk0rfgLn67MEIHWjur2,https://api.spotify.com/v1/audio-analysis/5TICk0rfgLn67MEIHWjur2,325920,4
2236,The Specials,Too Much Too Young,1u2bt26ipUrk4kHvcLXl6R,0.79,0.595,2,-8.316,1,0.0488,0.0243,0.104,0.304,0.838,133.418,audio_features,spotify:track:1u2bt26ipUrk4kHvcLXl6R,https://api.spotify.com/v1/tracks/1u2bt26ipUrk4kHvcLXl6R,https://api.spotify.com/v1/audio-analysis/1u2bt26ipUrk4kHvcLXl6R,366760,4
